variable,source,definition
outcome_decision_note,canonical meta-analysis data,Analysis-ready variable derived from current cleaned RDS exports; blank/NA/not reported values are treated as missing before modeling-specific coding.
uncertainty_reported_source,canonical meta-analysis data,Analysis-ready variable derived from current cleaned RDS exports; blank/NA/not reported values are treated as missing before modeling-specific coding.
uncertainty_reported_percent,canonical meta-analysis data,Analysis-ready variable derived from current cleaned RDS exports; blank/NA/not reported values are treated as missing before modeling-specific coding.
se_provenance_category,canonical meta-analysis data,Analysis-ready variable derived from current cleaned RDS exports; blank/NA/not reported values are treated as missing before modeling-specific coding.
se_conversion_denominator,canonical meta-analysis data,Analysis-ready variable derived from current cleaned RDS exports; blank/NA/not reported values are treated as missing before modeling-specific coding.
uncertainty_exclusion_flag,canonical meta-analysis data,Analysis-ready variable derived from current cleaned RDS exports; blank/NA/not reported values are treated as missing before modeling-specific coding.
se_decision_note,canonical meta-analysis data,Analysis-ready variable derived from current cleaned RDS exports; blank/NA/not reported values are treated as missing before modeling-specific coding.
mean,canonical meta-analysis data,Analysis-ready variable derived from current cleaned RDS exports; blank/NA/not reported values are treated as missing before modeling-specific coding.
ylogit,canonical meta-analysis data,Analysis-ready variable derived from current cleaned RDS exports; blank/NA/not reported values are treated as missing before modeling-specific coding.
se,canonical meta-analysis data,Analysis-ready variable derived from current cleaned RDS exports; blank/NA/not reported values are treated as missing before modeling-specific coding.
se2,canonical meta-analysis data,Analysis-ready variable derived from current cleaned RDS exports; blank/NA/not reported values are treated as missing before modeling-specific coding.
se_logit,canonical meta-analysis data,Analysis-ready variable derived from current cleaned RDS exports; blank/NA/not reported values are treated as missing before modeling-specific coding.
has_se,canonical meta-analysis data,Analysis-ready variable derived from current cleaned RDS exports; blank/NA/not reported values are treated as missing before modeling-specific coding.
se2_logit,canonical meta-analysis data,Analysis-ready variable derived from current cleaned RDS exports; blank/NA/not reported values are treated as missing before modeling-specific coding.
has_se2,canonical meta-analysis data,Analysis-ready variable derived from current cleaned RDS exports; blank/NA/not reported values are treated as missing before modeling-specific coding.
ECG,canonical meta-analysis data,Analysis-ready variable derived from current cleaned RDS exports; blank/NA/not reported values are treated as missing before modeling-specific coding.
PPG,canonical meta-analysis data,Analysis-ready variable derived from current cleaned RDS exports; blank/NA/not reported values are treated as missing before modeling-specific coding.
Other,canonical meta-analysis data,Analysis-ready variable derived from current cleaned RDS exports; blank/NA/not reported values are treated as missing before modeling-specific coding.
multimodal,canonical meta-analysis data,Analysis-ready variable derived from current cleaned RDS exports; blank/NA/not reported values are treated as missing before modeling-specific coding.
algo,canonical meta-analysis data,Analysis-ready variable derived from current cleaned RDS exports; blank/NA/not reported values are treated as missing before modeling-specific coding.
algo_other,canonical meta-analysis data,Analysis-ready variable derived from current cleaned RDS exports; blank/NA/not reported values are treated as missing before modeling-specific coding.
intruders,canonical meta-analysis data,Analysis-ready variable derived from current cleaned RDS exports; blank/NA/not reported values are treated as missing before modeling-specific coding.
activity,canonical meta-analysis data,Analysis-ready variable derived from current cleaned RDS exports; blank/NA/not reported values are treated as missing before modeling-specific coding.
duration,canonical meta-analysis data,Analysis-ready variable derived from current cleaned RDS exports; blank/NA/not reported values are treated as missing before modeling-specific coding.
auth_time,canonical meta-analysis data,Analysis-ready variable derived from current cleaned RDS exports; blank/NA/not reported values are treated as missing before modeling-specific coding.
enrol_time,canonical meta-analysis data,Analysis-ready variable derived from current cleaned RDS exports; blank/NA/not reported values are treated as missing before modeling-specific coding.
device,canonical meta-analysis data,Analysis-ready variable derived from current cleaned RDS exports; blank/NA/not reported values are treated as missing before modeling-specific coding.
device_location,canonical meta-analysis data,Analysis-ready variable derived from current cleaned RDS exports; blank/NA/not reported values are treated as missing before modeling-specific coding.
feature_type,canonical meta-analysis data,Analysis-ready variable derived from current cleaned RDS exports; blank/NA/not reported values are treated as missing before modeling-specific coding.
feature_dim,canonical meta-analysis data,Analysis-ready variable derived from current cleaned RDS exports; blank/NA/not reported values are treated as missing before modeling-specific coding.
dim_reduction,canonical meta-analysis data,Analysis-ready variable derived from current cleaned RDS exports; blank/NA/not reported values are treated as missing before modeling-specific coding.
noise_reduction,canonical meta-analysis data,Analysis-ready variable derived from current cleaned RDS exports; blank/NA/not reported values are treated as missing before modeling-specific coding.
segmentation_type,canonical meta-analysis data,Analysis-ready variable derived from current cleaned RDS exports; blank/NA/not reported values are treated as missing before modeling-specific coding.
normalizationyn,canonical meta-analysis data,Analysis-ready variable derived from current cleaned RDS exports; blank/NA/not reported values are treated as missing before modeling-specific coding.
filteringyn,canonical meta-analysis data,Analysis-ready variable derived from current cleaned RDS exports; blank/NA/not reported values are treated as missing before modeling-specific coding.
external_validation,canonical meta-analysis data,Analysis-ready variable derived from current cleaned RDS exports; blank/NA/not reported values are treated as missing before modeling-specific coding.
